material,data_source,thickness,stressthickness,R,T,P
Co,Pletea,170.1492537,34.45116191,0.05,300,0.2
Co,Pletea,189.2808684,39.47409099,0.05,300,0.2
Co,Pletea,207.5983718,43.23291483,0.05,300,0.2
Co,Pletea,226.3229308,46.3579685,0.05,300,0.2
Co,Pletea,241.7910448,50.7557151,0.05,300,0.2
Co,Pletea,259.7014925,53.8824863,0.05,300,0.2
Co,Pletea,276.797829,57.64388644,0.05,300,0.2
Co,Pletea,297.1506106,62.03132783,0.05,300,0.2
Co,Pletea,18.31750339,8.189203579,0.05,300,0.5
Co,Pletea,32.97150611,10.05702214,0.05,300,0.5
Co,Pletea,49.66078697,13.18636965,0.05,300,0.5
Co,Pletea,67.57123474,17.57896364,0.05,300,0.5
Co,Pletea,82.22523745,21.34551638,0.05,300,0.5
Co,Pletea,98.50746269,27.00736822,0.05,300,0.5
Co,Pletea,116.0108548,33.29955516,0.05,300,0.5
Co,Pletea,133.1071913,38.95968947,0.05,300,0.5
Co,Pletea,150.6105834,47.15061058,0.05,300,0.5
Co,Pletea,168.9280868,54.07399138,0.05,300,0.5
Co,Pletea,185.2103121,62.26748879,0.05,300,0.5
Co,Pletea,201.8995929,69.19430466,0.05,300,0.5
Co,Pletea,218.1818182,74.8561565,0.05,300,0.5
Co,Pletea,233.2428765,81.78640743,0.05,300,0.5
Co,Pletea,247.4898236,88.08546451,0.05,300,0.5
Co,Pletea,262.550882,95.01571544,0.05,300,0.5
Co,Pletea,280.0542741,101.3079024,0.05,300,0.5
Co,Pletea,297.1506106,108.8667709,0.05,300,0.5
Co,Pletea,23.60922659,19.57044467,0.05,300,2
Co,Pletea,33.37856174,34.10679628,0.05,300,2
Co,Pletea,43.96200814,47.37560758,0.05,300,2
Co,Pletea,54.13839891,61.91110042,0.05,300,2
Co,Pletea,65.53595658,78.34275115,0.05,300,2
Co,Pletea,74.89823609,89.08249317,0.05,300,2
Co,Pletea,85.07462687,104.2508974,0.05,300,2
Co,Pletea,94.02985075,116.8902324,0.05,300,2
Co,Pletea,104.2062415,132.0586366,0.05,300,2
Co,Pletea,114.3826323,144.6953953,0.05,300,2
Co,Pletea,124.5590231,156.6992426,0.05,300,2
Co,Pletea,135.1424695,171.2338766,0.05,300,2
Co,Pletea,147.761194,186.3971283,0.05,300,2
Co,Pletea,159.5658073,199.6633633,0.05,300,2
Co,Pletea,169.7421981,212.9330333,0.05,300,2
Co,Pletea,181.953867,227.4642323,0.05,300,2
Co,Pletea,193.7584803,241.3633787,0.05,300,2
Co,Pletea,207.5983718,255.8911427,0.05,300,2
Co,Pletea,219.4029851,269.7902891,0.05,300,2
Co,Pletea,232.4287653,284.3197705,0.05,300,2
Co,Pletea,246.6757123,298.8466757,0.05,300,2
Co,Pletea,262.9579376,315.2680212,0.05,300,2
Co,Pletea,274.3554953,326.6363808,0.05,300,2
Co,Pletea,285.3459973,337.3726878,0.05,300,2
Co,Pletea,300.4070556,351.264964,0.05,300,2
Cr-90W,Zhou,5.118110236,6.263982103,0.1,298,0.27
Cr-90W,Zhou,6.692913386,1.789709172,0.1,298,0.27
Cr-90W,Zhou,9.448818898,-0.447427293,0.1,298,0.27
Cr-90W,Zhou,12.20472441,-2.684563758,0.1,298,0.27
Cr-90W,Zhou,14.96062992,-7.158836689,0.1,298,0.27
Cr-90W,Zhou,18.50393701,-9.395973154,0.1,298,0.27
Cr-90W,Zhou,20.07874016,-13.87024609,0.1,298,0.27
Cr-90W,Zhou,22.83464567,-18.34451902,0.1,298,0.27
Cr-90W,Zhou,25.19685039,-20.58165548,0.1,298,0.27
Cr-90W,Zhou,28.34645669,-25.05592841,0.1,298,0.27
Cr-90W,Zhou,30.70866142,-29.53020134,0.1,298,0.27
Cr-90W,Zhou,32.67716535,-31.76733781,0.1,298,0.27
Cr-90W,Zhou,34.64566929,-36.24161074,0.1,298,0.27
Cr-90W,Zhou,37.00787402,-40.71588367,0.1,298,0.27
Cr-90W,Zhou,38.97637795,-45.1901566,0.1,298,0.27
Cr-90W,Zhou,41.33858268,-47.42729306,0.1,298,0.27
Cr-90W,Zhou,43.7007874,-49.66442953,0.1,298,0.27
Cr-90W,Zhou,45.66929134,-54.13870246,0.1,298,0.27
Cr-90W,Zhou,48.03149606,-58.61297539,0.1,298,0.27
Cr-90W,Zhou,50,-63.08724832,0.1,298,0.27
Cr-90W,Zhou,51.96850394,-67.56152125,0.1,298,0.27
Cr-90W,Zhou,54.72440945,-72.03579418,0.1,298,0.27
Cr-90W,Zhou,57.08661417,-76.51006711,0.1,298,0.27
Cr-90W,Zhou,59.84251969,-83.22147651,0.1,298,0.27
Cr-90W,Zhou,61.81102362,-87.69574944,0.1,298,0.27
Cr-90W,Zhou,63.77952756,-94.40715884,0.1,298,0.27
Cr-90W,Zhou,66.14173228,-101.1185682,0.1,298,0.27
Cr-90W,Zhou,68.50393701,-103.3557047,0.1,298,0.27
Cr-90W,Zhou,72.44094488,-112.3042506,0.1,298,0.27
Cr-90W,Zhou,74.40944882,-114.541387,0.1,298,0.27
Cr-90W,Zhou,76.77165354,-119.01566,0.1,298,0.27
Cr-90W,Zhou,79.13385827,-125.7270694,0.1,298,0.27
Cr-90W,Zhou,81.49606299,-134.6756152,0.1,298,0.27
Cr-90W,Zhou,83.07086614,-139.1498881,0.1,298,0.27
Cr-90W,Zhou,85.82677165,-145.8612975,0.1,298,0.27
Cr-90W,Zhou,88.97637795,-150.3355705,0.1,298,0.27
Cr-90W,Zhou,90.94488189,-157.0469799,0.1,298,0.27
Cr-90W,Zhou,92.91338583,-161.5212528,0.1,298,0.27
Cr-90W,Zhou,94.48818898,-165.9955257,0.1,298,0.27
Cr-90W,Zhou,97.63779528,-170.4697987,0.1,298,0.27
Cr-90W,Zhou,100,-177.1812081,0.1,298,0.27
Cr-90W,Zhou,102.3622047,-181.655481,0.1,298,0.27
Cr-90W,Zhou,105.511811,-188.3668904,0.1,298,0.27
Cr-90W,Zhou,107.480315,-192.8411633,0.1,298,0.27
Cr-90W,Zhou,111.023622,-201.7897092,0.1,298,0.27
Cr-90W,Zhou,114.1732283,-212.9753915,0.1,298,0.27
Cr-90W,Zhou,116.5354331,-219.6868009,0.1,298,0.27
Cr-90W,Zhou,120.0787402,-230.8724832,0.1,298,0.27
Cr-90W,Zhou,121.6535433,-235.3467562,0.1,298,0.27
Cr-90W,Zhou,123.6220472,-242.0581655,0.1,298,0.27
Cr-90W,Zhou,125.984252,-246.5324385,0.1,298,0.27
Cr-90W,Zhou,129.5275591,-251.0067114,0.1,298,0.27
Cr-90W,Zhou,133.0708661,-257.7181208,0.1,298,0.27
Cr-90W,Zhou,135.4330709,-264.4295302,0.1,298,0.27
Cr-90W,Zhou,138.1889764,-271.1409396,0.1,298,0.27
